epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1362.18,0.94103,0.59194,0.00727,0.88632,0.86387,0.91335,0.60433,1.33776,0.64602,0.01461,4.34665e-05,4.34665e-05,4.34665e-05
60,1385.08,0.93533,0.58905,0.00723,0.88098,0.86669,0.90969,0.59988,1.34627,0.63073,0.01469,4.15608e-05,4.15608e-05,4.15608e-05
61,1407.96,0.92188,0.58441,0.00717,0.89104,0.87034,0.91165,0.59732,1.36235,0.62656,0.01496,3.9655e-05,3.9655e-05,3.9655e-05
62,1430.87,0.91802,0.5883,0.00699,0.88524,0.87281,0.91723,0.60441,1.35236,0.617,0.01482,3.77493e-05,3.77493e-05,3.77493e-05
63,1453.76,0.92831,0.58156,0.0072,0.88248,0.87236,0.90916,0.5996,1.35341,0.61496,0.01487,3.58435e-05,3.58435e-05,3.58435e-05
64,1476.7,0.91874,0.5855,0.00692,0.87578,0.8725,0.91294,0.60039,1.35202,0.61543,0.01484,3.39378e-05,3.39378e-05,3.39378e-05
65,1499.58,0.92164,0.58419,0.00707,0.84791,0.89572,0.90577,0.59718,1.35229,0.62172,0.01479,3.2032e-05,3.2032e-05,3.2032e-05
66,1522.46,0.92251,0.58478,0.00722,0.86811,0.88142,0.909,0.59787,1.36329,0.6075,0.01498,3.01262e-05,3.01262e-05,3.01262e-05
67,1545.39,0.91151,0.5758,0.00697,0.88664,0.87393,0.90901,0.59767,1.3599,0.61013,0.01502,2.82205e-05,2.82205e-05,2.82205e-05
68,1568.39,0.90931,0.57815,0.00697,0.89023,0.86971,0.91426,0.60005,1.35512,0.61643,0.01486,2.63148e-05,2.63148e-05,2.63148e-05
69,1591.35,0.91494,0.57712,0.007,0.89561,0.8645,0.91552,0.60185,1.35727,0.61248,0.01484,2.4409e-05,2.4409e-05,2.4409e-05
70,1614.35,0.9178,0.57338,0.00713,0.89422,0.86129,0.91678,0.60285,1.35822,0.61017,0.01485,2.25032e-05,2.25032e-05,2.25032e-05
71,1651.03,0.79319,0.3723,0.00711,0.88353,0.87544,0.90673,0.59389,1.34972,0.62474,0.01472,2.05975e-05,2.05975e-05,2.05975e-05
72,1673.56,0.78159,0.37199,0.00706,0.87214,0.88582,0.90326,0.59604,1.35455,0.62237,0.01479,1.86918e-05,1.86918e-05,1.86918e-05
73,1696.16,0.78221,0.37121,0.00709,0.87659,0.88749,0.90601,0.5967,1.35372,0.62277,0.01479,1.6786e-05,1.6786e-05,1.6786e-05
74,1720.24,0.77233,0.3631,0.00699,0.87748,0.88444,0.90674,0.59719,1.34879,0.6256,0.01475,1.48803e-05,1.48803e-05,1.48803e-05
75,1742.75,0.77386,0.37002,0.00698,0.87625,0.89457,0.90835,0.59732,1.35329,0.61833,0.01479,1.29745e-05,1.29745e-05,1.29745e-05
76,1765.35,0.76856,0.36037,0.00689,0.87487,0.89439,0.91125,0.59979,1.35179,0.61539,0.01474,1.10687e-05,1.10687e-05,1.10687e-05
77,1787.87,0.7681,0.36129,0.0069,0.89315,0.87209,0.91168,0.60125,1.35357,0.6203,0.01479,9.163e-06,9.163e-06,9.163e-06
78,1810.41,0.76546,0.35339,0.00692,0.88035,0.87958,0.9136,0.60049,1.35281,0.61861,0.0148,7.25725e-06,7.25725e-06,7.25725e-06
79,1833.02,0.77079,0.36193,0.0069,0.88357,0.87738,0.91264,0.59974,1.35397,0.61991,0.01478,5.3515e-06,5.3515e-06,5.3515e-06
80,1855.62,0.76895,0.35554,0.00696,0.86552,0.90065,0.91272,0.59983,1.35753,0.6154,0.01484,3.44575e-06,3.44575e-06,3.44575e-06
